"titre";"rubrique";"id_langue";"resume";"sommaire";"accroche";"date_parution";"id_editeur";"id_collection";"dimension";"poids";"nb_pages";"id_format";"isbn10";"isbn13";"prix";"stock";"image";"edition"
"L'histoire de France vue d'ailleurs";"histoire";1;"Pas de resumé";NULL;NULL;01/11/16;1;NULL;"24 x 2,9 x 17 cm ";700;NULL;2;2352045738;"978-2352045731";27;7;NULL;1
"L'inventaire de la Terre : La Polynésie";"histoire";1;"Les guides Evasion s’associent à « the explorers network ».« The  Explorers » , ce sont les aventuriers du XXIe siècle : une équipe d’hommes et de femmes passionnés (reporters, photographes, dessinateurs, scientifiques) qui se sont donnés pour objectif de dresser l’inventaire du patrimoine naturel, culturel et humain de la planète.En Polynésie, ils nous font découvrir les merveilles naturelles des cinq archipels : l’exceptionnelle faune sous-marine, les atolls fragiles des Tuamutu, mais aussi la culture ancestrale des Marquises ou la vie quotidienne des pêcheurs de Tahiti.Cet ouvrage rassemble les plus belles photos de leur expédition, commentées par ses membres.Des liens renvoient vers les extraits vidéos des moments les plus forts de leurs reportages.";NULL;NULL;02/11/16;2;NULL;"24 x 2 x 29,3 cm";400;192;2;2013960948;"978-2013960946";26;2;NULL;3
"Gibiers exotiques";"Cuisine ";1;"Jacques Reder a chassé sous toutes les latitudes. Grand spécialiste des recettes de gibier (avec Le chevreuil dans cette collection et une chronique régulière dans le Saint-Hubert) il nous fait partager ses meilleures expériences gastronomiques. Ce ne sont en effet que des recettes testées et goûtées qui sont détaillées et expliquées pas à pas dans cet ouvrage destiné à cuisiner ces gibiers hors du commun, accompagnés d'épices et de légumes locaux.";"Agouti - Gibelotte d'agouti
Autruche - Oeuf brouillé d'autruche
Bubale - Foie de bubale poêlé
Buffle caffer - Rognons de buffle en cocotte
Buffle d'eau - Queue de buffle d'eau en sauce
Caïman - Caïman en timbale coco
Caribou - Caribou et canneberges
Céphalophe - Côtelettes de céphalophe Zanzibar
Cerf axis - Bolognaise de cerf axis
Cerf de Java - Tournedos de java mauritius
Cerf rusa - Rusa en salade calédonienne
Cerf sika - Estouffade de cerf sika
Cerf de Virginie - Chili de cerf de Virginie";"Cuisine et saveurs";05/05/14;2;NULL;"15 x 23 cm";225;96;2;NULL;"978-2356530035";22;10;NULL;2
"Epices et saveurs exotiques";"Cuisine ";1;"101 recettes de petits plats épicés pour pimenter un peu votre quotidien ! De l'entrée au dessert, en passant par les plats (poisson, viande, ou végétarien), découvrez des recettes exotiques et relevées aisément réalisables.";NULL;"Epices et saveurs exotiques";05/01/11;2;NULL;"15 x 17 cm";425;216;2;2035859271;"978-2035859273";5,9;5;NULL;3
"Comment trouver la femme idéale";"humour";2;"Don Tillman a un gros problème. Ce n'est pas son incapacité à vivre en société. Ni ses idées arrêtées sur à peu près tout (à commencer par le homard au dîner, le mardi). Non, le vrai souci de Don, brillant professeur de génétique, c'est le "" Problème Épouse "". Sur 100 individus de sexe féminin, 100 ne répondent absolument pas à la liste de critères scrupuleusement établie par lui – et Rosie, étudiante le jour, serveuse la nuit, encore moins que les autres... Et c'est bien là que le théorème se complique... ";NULL;"« Original, charmant, fascinant. » The Times ";02/04/15;3;NULL;"11,1*2,2*17,9";NULL;403;2;2266244825;"978-2266244824";7,4;13;NULL;1
"Le vieux qui ne voulait pas fêter son anniversaire";"humour";2;"Franchement, qui a envie de fêter son centième anniversaire dans une maison de retraite en compagnie de vieux séniles, de l'adjoint au maire et de la presse locale ?";NULL;NULL;01/03/12;3;NULL;"10,8*2,7*17,7";NULL;512;2;2258086442;"978-2258086449";8,2;2;NULL;1
"La conjuration des imbéciles";"humour";1;"À trente ans passés, Ignatus vit encore cloîtré chez sa mère, à La Nouvelle-Orléans. Harassée par ses frasques, celle-ci le somme de trouver du travail. C'est sans compter avec sa silhouette éléphantesque et son arrogance bizarre... Chef-d'œuvre de la littérature américaine, La Conjuration des imbéciles offre le génial portrait d'un Don Quichotte yankee inclassable, et culte.  ";NULL;NULL;01/04/02;3;NULL;"10,9*3,8*17,5";NULL;448;2;2264034882;"978-2264034885";9,6;0;NULL;1
"
Programmer en langage C";"programmation";1;"Cet ouvrage est destiné aux étudiants débutants en langage C, mais ayant déjà quelques notions de programmation acquises par la pratique, même sommaire, d'un autre langage. Les notions fondamentales (types de données, opérateurs, instructions de contrôle, fonctions, tableaux...) sont exposées avec un grand soin pédagogique, le lecteur étant conduit progressivement vers la maîtrise de concepts plus avancés comme les pointeurs ou la gestion dynamique de la mémoire. Cette 5e édition aborde les spécificités de la version C99 de la norme ISO. Chaque notion importante est illustrée d'exemples de programmes complets, accompagnés de résultats d'exécution. De nombreux exercices, dont la solution est fournie en fin d'ouvrage, vous permettront de tester vos connaissances fraîchement acquises et de les approfondir.";NULL;NULL;01/01/16;1;NULL;"19x0x23cm";NULL;268;1;2212118252;NULL;18;8;"http://static.fnac-static.com/multimedia/Images/FR/NR/7a/bb/13/1293178/1540-1.jpg";4
"Programmation Efficace Les 128 Algorithmes Qu'Il Faut Avoir Compris et Codés en Python au Cours de sa Vie";"programmation";1;"Les nombreux problèmes algorithmiques de ce livre constituent à la fois une formation à la programmation et une préparation efficace aux compétitions et entretiens d'embauche d'entreprises spécialisées en informatique (telles que Google ou Facebook). La variété des problèmes étudiés convient aux étudiants des écoles d'ingénieurs comme à ceux des parcours universitaires à partir de la L3. On y trouve les algorithmes classiques de géométrie ou de recherche de plus court chemin mais également des sujets plus atypiques tels que les arbres de Fenwick ou les liens dansants de Knuth. La rédaction dégage les idées essentielles pour la compréhension et indique les détails techniques à surmonter pour une implémentation efficace. Les codes complets et succincts en Python 3 présentés dans ce livre sont disponibles sur le site d'accompa¬gnement tryalgo.org.";NULL;NULL;01/03/16;3;NULL;"24 x 1,2 x 19 cm";NULL;216;1;2340010055;"978-2340010055";26;4;"https://images-na.ssl-images-amazon.com/images/I/41aCbvEhkSL._SX380_BO1,204,203,200_.jpg";0
"Node.js : bonnes pratiques pour la programmation javascript applicative et modulaire";"programmation";1;"La limite entre front-end et back-end est mouvante et floue : écrire et compiler en JavaScript est un must, et devient la deuxième langue vivante à parler à l'école. Un ouvrage sur Node.js auquel des pointures de la communauté participeront.";NULL;NULL;19/01/17;3;NULL;NULL;NULL;NULL;1;2212139934;"978-2212139938";32;0;"https://images-na.ssl-images-amazon.com/images/I/41KeDnw%2BsYL._SX410_BO1,204,203,200_.jpg";5
"Principia Mathematica";"mathematique";2;"Les Principia Mathematica sont une œuvre en trois volumes d'Alfred North Whitehead et Bertrand Russell, publiés à compte d'auteurn 1 en 1910-1913. Cette œuvre a pour sujet les fondements des mathématiques. Avec en particulier l'idéographie de Gottlob Frege, c'est un ouvrage fondamental, dans la mesure où il participe de façon décisive à la naissance de la logique moderne.";NULL;"Les fondements des mathématiques par Russel et Whitehead, un ouvrage fondateur de la logique moderne";01/01/10;1;NULL;"24 x 2,9 x 17 cm ";400;350;1;1214422725;"987-1090085222 ";38;2;NULL;8
"Formulaire de Mathématiques";"mathematique";1;"Le formulaire de mathématiques est une œuvre dirigée par Giuseppe Peano, et rédigée par celui-ci et ses collaborateurs, parmi ceux-ci Giovanni Vailati (en), Mario Pieri (en), Alessandro Padoa, Giovanni Vacca, Gino Fano, Cesare Burali-Forti, etc. Elle vise à exprimer de façon organisée les principales théories mathématiques dans la langue symbolique introduite par Peano à partir de 1888. ";NULL;NULL;01/01/08;2;NULL;"24 x 2,9 x 17 cm ";550;412;1;7252212144;"849-1010035671 ";43,9;1;NULL;6
"Les limites de la connaissance";"mathematique";1;"La science nous permettra-t-elle un jour de tout savoir ? Ne rêve-t-elle pas d’une formule qui explique tout ? N’y aurait-il donc rien qui entrave sa marche triomphale ? Le monde deviendra-t-il transparent à l’intelligence humaine ? Tout mystère pourra-t-il être à jamais dissipé ? Hervé Zwirn pense qu’il n’en est rien. La science, en même temps qu’elle progresse à pas de géants, marque elle-même ses limites. C’est ce que montre la découverte des propositions indécidables qui ont suivi le théorème de Gödel. Ou celle des propriétés surprenantes du chaos déterministe. Ou encore les paradoxes de la théorie quantique qui ont opposé Einstein et Bohr et mettent en cause toute notre manière de penser. L’analyse de ces limites que la science découvre à sa propre connaissance conduit l’auteur à poser cette question, la plus profonde : qu’est-ce que le réel ? Hervé Zwirn, polytechnicien, docteur en physique théorique, est chercheur associé à l’Institut d’histoire et de philosophie des sciences et des techniques de Paris-I. ";NULL;NULL;05/10/03;3;NULL;"24 x 2,9 x 17 cm ";500;524;2;2121424725;"597-1090843271 ";32,9;3;NULL;3
"Art";"classique";1;"Avec cette virtuosité rare chez une femme dans la description des univers essentiellement masculins, Yasmina Reza visite, sonde et observe avec affection et tendresse les hommes de son temps. À travers trois personnages, elle se joue des mesquineries de l'ambition, de l'importance du paraître, de la place de l'homme social face à la force de l'amitié. ";NULL;NULL;30/08/02;2;NULL;NULL;700;300;3;"221075447X ";"978-2210754478";5,2;100;NULL;3
"D'art d'art";"classique";1;"Avec cette virtuosité rare chez une femme dans la description des univers essentiellement masculins, Yasmina Reza visite, sonde et observe avec affection et tendresse les hommes de son temps. À travers trois personnages, elle se joue des mesquineries de l'ambition, de l'importance du paraître, de la place de l'homme social face à la force de l'amitié. ";NULL;NULL;30/08/02;2;NULL;NULL;500;255;3;2812304030;"978-2812304033";8,5;45;NULL;4
